FunctionalGroup1,FunctionalGroup2,Chainlength1,Chainlength2,Temperature,Compositioncomponent1,Excessenthalpy
Alkene,Alkane,2,2,273.15,0,0
Alkene,Alkane,2,2,273.15,0.0548,2.4
Alkene,Alkane,2,2,273.15,0.1054,6.2
Alkene,Alkane,2,2,273.15,0.1525,11.1
Alkene,Alkane,2,2,273.15,0.1962,15.9
Alkene,Alkane,2,2,273.15,0.237,20
Alkene,Alkane,2,2,273.15,0.2752,25.3
Alkene,Alkane,2,2,273.15,0.311,27.5
Alkene,Alkane,2,2,273.15,0.3446,31.9
Alkene,Alkane,2,2,273.15,0.406,36.6
Alkene,Alkane,2,2,273.15,0.4895,39.6
Alkene,Alkane,2,2,273.15,0.5325,40.8
Alkene,Alkane,2,2,273.15,0.5747,42.4
Alkene,Alkane,2,2,273.15,0.613,42.6
Alkene,Alkane,2,2,273.15,0.6479,42.9
Alkene,Alkane,2,2,273.15,0.695,40.6
Alkene,Alkane,2,2,273.15,0.7233,37.3
Alkene,Alkane,2,2,273.15,0.8068,27.8
Alkene,Alkane,2,2,273.15,0.8551,23.2
Alkene,Alkane,2,2,273.15,0.8963,15.3
Alkene,Alkane,2,2,273.15,0.9384,9.1
Alkene,Alkane,2,2,273.15,0.9795,1.2
Alkene,Alkane,2,2,273.15,1,0
Alkene,Alkane,2,2,273.15,0,0
Alkene,Alkane,2,2,273.15,0.0195,7.4
Alkene,Alkane,2,2,273.15,0.058,20.3
Alkene,Alkane,2,2,273.15,0.0963,32.8
Alkene,Alkane,2,2,273.15,0.134,41.6
Alkene,Alkane,2,2,273.15,0.1713,51.3
Alkene,Alkane,2,2,273.15,0.2083,60.7
Alkene,Alkane,2,2,273.15,0.2448,66.9
Alkene,Alkane,2,2,273.15,0.2809,73.8
Alkene,Alkane,2,2,273.15,0.3343,81.3
Alkene,Alkane,2,2,273.15,0.3694,83.8
Alkene,Alkane,2,2,273.15,0.4042,86.3
Alkene,Alkane,2,2,273.15,0.4386,87.6
Alkene,Alkane,2,2,273.15,0.4894,88.7
Alkene,Alkane,2,2,273.15,0.5229,88.5
Alkene,Alkane,2,2,273.15,0.5725,85.7
Alkene,Alkane,2,2,273.15,0.6052,84.3
Alkene,Alkane,2,2,273.15,0.6634,78.7
Alkene,Alkane,2,2,273.15,0.6851,74
Alkene,Alkane,2,2,273.15,0.7322,66.2
Alkene,Alkane,2,2,273.15,0.7644,60.9
Alkene,Alkane,2,2,273.15,0.809,54.5
Alkene,Alkane,2,2,273.15,0.8542,40.5
Alkene,Alkane,2,2,273.15,0.8839,34.4
Alkene,Alkane,2,2,273.15,0.928,21.8
Alkene,Alkane,2,2,273.15,0.9716,4.2
Alkene,Alkane,2,2,273.15,1,0
Alkene,Alkane,2,2,273.15,0,0
Alkene,Alkane,2,2,273.15,0.0176,6.7
Alkene,Alkane,2,2,273.15,0.0526,21.6
Alkene,Alkane,2,2,273.15,0.0876,34.6
Alkene,Alkane,2,2,273.15,0.1397,50.1
Alkene,Alkane,2,2,273.15,0.1743,61.8
Alkene,Alkane,2,2,273.15,0.2088,69.9
Alkene,Alkane,2,2,273.15,0.2432,78
Alkene,Alkane,2,2,273.15,0.2945,87.5
Alkene,Alkane,2,2,273.15,0.3285,94.1
Alkene,Alkane,2,2,273.15,0.3793,99.5
Alkene,Alkane,2,2,273.15,0.4131,103
Alkene,Alkane,2,2,273.15,0.4467,104
Alkene,Alkane,2,2,273.15,0.4969,105.4
Alkene,Alkane,2,2,273.15,0.5302,103.5
Alkene,Alkane,2,2,273.15,0.5799,102.8
Alkene,Alkane,2,2,273.15,0.6129,98.4
Alkene,Alkane,2,2,273.15,0.6458,95.1
Alkene,Alkane,2,2,273.15,0.6949,87.7
Alkene,Alkane,2,2,273.15,0.7275,81
Alkene,Alkane,2,2,273.15,0.7762,70.1
Alkene,Alkane,2,2,273.15,0.8085,62
Alkene,Alkane,2,2,273.15,0.8568,48.3
Alkene,Alkane,2,2,273.15,0.8888,37.4
Alkene,Alkane,2,2,273.15,0.9366,18.2
Alkene,Alkane,2,2,273.15,0.9684,7.4
Alkene,Alkane,2,2,273.15,1,0
Alkene,Alkane,2,2,273.15,0,0
Alkene,Alkane,2,2,273.15,0.017,5.1
Alkene,Alkane,2,2,273.15,0.0508,18.3
Alkene,Alkane,2,2,273.15,0.0847,33
Alkene,Alkane,2,2,273.15,0.1353,50.3
Alkene,Alkane,2,2,273.15,0.1691,61
Alkene,Alkane,2,2,273.15,0.2196,74.1
Alkene,Alkane,2,2,273.15,0.2532,82.9
Alkene,Alkane,2,2,273.15,0.2868,89.6
Alkene,Alkane,2,2,273.15,0.3372,97.9
Alkene,Alkane,2,2,273.15,0.3707,104.3
Alkene,Alkane,2,2,273.15,0.4041,106.5
Alkene,Alkane,2,2,273.15,0.4546,109.3
Alkene,Alkane,2,2,273.15,0.4876,110.3
Alkene,Alkane,2,2,273.15,0.5376,110.1
Alkene,Alkane,2,2,273.15,0.5709,108.9
Alkene,Alkane,2,2,273.15,0.6041,103.9
Alkene,Alkane,2,2,273.15,0.6539,96.7
Alkene,Alkane,2,2,273.15,0.687,91.6
Alkene,Alkane,2,2,273.15,0.7367,82.6
Alkene,Alkane,2,2,273.15,0.7697,75.9
Alkene,Alkane,2,2,273.15,0.8192,61.7
Alkene,Alkane,2,2,273.15,0.8522,51.2
Alkene,Alkane,2,2,273.15,0.8851,41.6
Alkene,Alkane,2,2,273.15,0.9344,22.5
Alkene,Alkane,2,2,273.15,0.9672,8.7
Alkene,Alkane,2,2,273.15,1,0
Alkene,Alkane,2,2,273.15,0,0
Alkene,Alkane,2,2,273.15,0.0166,5.6
